ID,Pred
2014_1107_1110,0.4168388895143899
2014_1107_1112,0.05331461242756789
2014_1107_1113,0.2587823359025162
2014_1107_1124,0.18162902182541285
2014_1107_1140,0.2428879444752594
2014_1107_1142,0.5502235340752786
2014_1107_1153,0.10857557261486331
2014_1107_1157,0.48480903120644636
2014_1107_1160,0.2620579596531087
2014_1107_1163,0.15831534146832743
2014_1107_1166,0.08690885543984356
2014_1107_1173,0.27111114817449855
2014_1107_1174,0.34350217820367596
2014_1107_1181,0.08348705538571143
2014_1107_1184,0.3569695073144866
2014_1107_1196,0.06090014547205535
2014_1107_1203,0.23058607870446032
2014_1107_1211,0.15102121441033853
2014_1107_1217,0.218133664217476
2014_1107_1234,0.20641771821135685
2014_1107_1235,0.10274972678211793
2014_1107_1242,0.09167517008337273
2014_1107_1243,0.2516161724075449
2014_1107_1246,0.18603242315129484
2014_1107_1257,0.042344588215797535
2014_1107_1264,0.2963712660169733
2014_1107_1269,0.17670386247994205
2014_1107_1272,0.20482772818186365
2014_1107_1273,0.29728095307740937
2014_1107_1276,0.09081080507679966
2014_1107_1277,0.09934986490226702
2014_1107_1291,0.5659993191860544
2014_1107_1295,0.2638446296659713
2014_1107_1300,0.24500581796983406
2014_1107_1301,0.35491408073747266
2014_1107_1304,0.31994106539007033
2014_1107_1307,0.18156859330455583
2014_1107_1308,0.31250429325863066
2014_1107_1314,0.15219248073612193
2014_1107_1326,0.12789413214834325
2014_1107_1328,0.14828170045311087
2014_1107_1329,0.1632823641634687
2014_1107_1332,0.16206248258940584
2014_1107_1338,0.18651188194527996
2014_1107_1344,0.3384247992957297
2014_1107_1361,0.09284014063482901
2014_1107_1372,0.1973245405062991
2014_1107_1386,0.2886168559673537
2014_1107_1387,0.13462623743317192
2014_1107_1390,0.25659559827081263
2014_1107_1393,0.08788550551585914
2014_1107_1397,0.24407400835518275
2014_1107_1400,0.20445341623311594
2014_1107_1409,0.31558292595648024
2014_1107_1411,0.5320386847264217
2014_1107_1417,0.091931121428124
2014_1107_1418,0.3973732823500284
2014_1107_1433,0.10191435095026617
2014_1107_1437,0.07430231707926599
2014_1107_1438,0.07206548130249275
2014_1107_1444,0.4065077008485911
2014_1107_1451,0.5083137852175768
2014_1107_1454,0.5257755605522585
2014_1107_1455,0.05463574594138074
2014_1107_1458,0.09840974895587055
2014_1107_1459,0.4417128697335005
2014_1107_1462,0.3255586560083002
2014_1110_1112,0.07303394149097304
2014_1110_1113,0.3281546221990336
2014_1110_1124,0.23692986415203746
2014_1110_1140,0.3097801407972423
2014_1110_1142,0.6311928606035365
2014_1110_1153,0.1455907729034534
2014_1110_1157,0.5683153522314687
2014_1110_1160,0.33191513687457835
2014_1110_1163,0.20832479301574422
2014_1110_1166,0.11751123932727862
2014_1110_1173,0.3422623328165606
2014_1110_1174,0.42263585596953895
2014_1110_1181,0.11303370920214952
2014_1110_1184,0.4371398382596839
2014_1110_1196,0.08317860285629448
2014_1110_1203,0.2954122288197491
2014_1110_1211,0.1992720660428064
2014_1110_1217,0.28073633501069584
2014_1110_1234,0.2668053894892925
2014_1110_1235,0.13808646208038183
2014_1110_1242,0.12372845037185864
2014_1110_1243,0.31989650153309446
2014_1110_1246,0.24227706084549117
2014_1110_1257,0.05825614792960281
2014_1110_1264,0.3707795011019381
2014_1110_1269,0.23092828402018092
2014_1110_1272,0.26490551915862065
2014_1110_1273,0.3717968970176528
2014_1110_1276,0.12260266118573489
2014_1110_1277,0.1336915709366543
2014_1110_1291,0.6459560654400051
2014_1110_1295,0.3339625393470017
2014_1110_1300,0.31224073769070837
2014_1110_1301,0.43493502372822934
2014_1110_1304,0.3969286554512458
2014_1110_1307,0.23685636192014148
2014_1110_1308,0.38872526473774466
2014_1110_1314,0.2007290704857299
2014_1110_1326,0.1702375993376592
2014_1110_1328,0.1958592089987923
2014_1110_1329,0.21446104106866956
2014_1110_1332,0.2129561186472714
2014_1110_1338,0.24285822783120403
2014_1110_1344,0.41713199547294066
2014_1110_1361,0.12524457748664222
2014_1110_1372,0.25590984656910754
2014_1110_1386,0.36208006735587694
2014_1110_1387,0.17874176632737507
2014_1110_1390,0.3256392181641837
2014_1110_1393,0.11878704896449419
2014_1110_1397,0.31115860550794194
